"nom du fichier";"temps_debut";"temps_fin";"frequence_mediane";"tadarida_taxon";"tadarida_probabilite";"tadarida_taxon_autre";"observateur_taxon";"observateur_probabilite";"validateur_taxon";"validateur_probabilite"
"Car291547-2017-Pass1-Z1-017329_0_20170609_225553_372";"0.0";5.0;62.0;"Pippip";0.816;"noise, Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225553_372";0.7;0.8;28.0;"noise";0.348;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225558_372";"0.0";5.0;58.0;"Pippip";0.792;"Pipkuh, noise";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225558_372";"0.0";2.0;90.0;"noise";0.388;"Confus";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225603_372";"0.0";5.0;62.0;"Pippip";0.692;"Rhihip, noise, Myonat";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225603_372";1.2;2.2;22.0;"noise";0.508;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225608_372";"0.0";5.0;56.0;"Pippip";0.798;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225613_372";"0.0";5.0;55.0;"Pippip";0.75;"Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225618_372";"0.0";5.0;62.0;"Pippip";0.838;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225618_372";3.0;3.8;35.0;"noise";0.496;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225623_372";"0.0";2.6;52.0;"Pippip";0.834;"";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225625_967";"0.0";5.0;55.0;"Pippip";0.778;"Pipkuh";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225630_967";"0.0";5.0;60.0;"Pippip";0.792;"noise";"";"";"";""
"Car291547-2017-Pass1-Z1-017329_0_20170609_225630_967";0.2;3.4;30.0;"noise";0.646;"";"";"";"";""
