carre;annee;espece;abond
50160;2003;STRTUR;0
50160;2004;STRTUR;0
50160;2006;STRTUR;0
50160;2007;STRTUR;0
50160;2009;STRTUR;0
50160;2010;STRTUR;0
50160;2011;STRTUR;0
50160;2013;STRTUR;0
50204;2002;STRTUR;0
50204;2003;STRTUR;0
50401;2004;STRTUR;3
50401;2005;STRTUR;0
50401;2006;STRTUR;0
50401;2007;STRTUR;0
50401;2008;STRTUR;0
50401;2009;STRTUR;0
50401;2010;STRTUR;0
50401;2012;STRTUR;0
50401;2013;STRTUR;0
50401;2014;STRTUR;0
50563;2002;STRTUR;0
50563;2003;STRTUR;0
50563;2004;STRTUR;0
50563;2006;STRTUR;0
50563;2007;STRTUR;0
50563;2008;STRTUR;0
50563;2009;STRTUR;0
50655;2005;STRTUR;0
50655;2006;STRTUR;0
50655;2007;STRTUR;0
50655;2008;STRTUR;0
50655;2009;STRTUR;0
50700;2007;STRTUR;0
50700;2009;STRTUR;0
50700;2010;STRTUR;0
50793;2011;STRTUR;0
50925;2003;STRTUR;0
50925;2004;STRTUR;0
50925;2005;STRTUR;0
50925;2006;STRTUR;0
50925;2007;STRTUR;0
50925;2008;STRTUR;0
50925;2009;STRTUR;0
50925;2010;STRTUR;0
50925;2011;STRTUR;1
50925;2012;STRTUR;1
50925;2013;STRTUR;4
50925;2014;STRTUR;0
50967;2003;STRTUR;1
50967;2004;STRTUR;0
50967;2005;STRTUR;0
50967;2006;STRTUR;0
50967;2007;STRTUR;0
50967;2008;STRTUR;0
50967;2009;STRTUR;0
50967;2010;STRTUR;0
50967;2011;STRTUR;0
50967;2012;STRTUR;0
50967;2013;STRTUR;0
50967;2014;STRTUR;1
51045;2008;STRTUR;1
51046;2002;STRTUR;1
51046;2003;STRTUR;0
51046;2004;STRTUR;0
51046;2005;STRTUR;0
51046;2007;STRTUR;0
51046;2009;STRTUR;0
51046;2010;STRTUR;0
51062;2011;STRTUR;3
51062;2012;STRTUR;1
51062;2013;STRTUR;3
51062;2014;STRTUR;1
51366;2009;STRTUR;7
51366;2010;STRTUR;4
