"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"	"IdProb"	"IdV"	"ConfV"	"Session"	"TimeNum"	"IdExtrap"	"TypeE"
"Car340098-2019-Pass1-Z31-013676_20190329_211358_226"	0.6	0.8	19	"noise"	0.98	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.98	""	""	"29/03/2019"	1553886838.226	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211411_867"	2.7	2.8	9	"piaf"	0.21	"noise"	""	""	""	""	"5caba52defb48f000fcf28b1"	0.21	""	""	"29/03/2019"	1553886851.867	"piaf"	2
"Car340098-2019-Pass1-Z31-013676_20190329_211432_535"	0	0.4	39	"noise"	0.94	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.94	""	""	"29/03/2019"	1553886872.535	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211522_438"	1.3	3	10	"noise"	0.84	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.84	""	""	"29/03/2019"	1553886922.438	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211528_991"	0	1.7	14	"noise"	0.82	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.82	""	""	"29/03/2019"	1553886928.991	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211552_574"	1.7	1.8	11	"noise"	0.81	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.81	""	""	"29/03/2019"	1553886952.574	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211607_869"	0.2	1.4	16	"noise"	0.97	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.97	""	""	"29/03/2019"	1553886967.869	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211615_733"	0.1	0.2	9	"piaf"	0.98	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.98	""	""	"29/03/2019"	1553886975.733	"piaf"	2
"Car340098-2019-Pass1-Z31-013676_20190329_211924_385"	1.4	1.5	36	"noise"	0.12	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.12	""	""	"29/03/2019"	1553887164.385	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211927_470"	0	1.1	30	"noise"	0.97	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.97	""	""	"29/03/2019"	1553887167.47	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211927_470"	0	0.1	16	"Phogri"	0.09	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.09	""	""	"29/03/2019"	1553887167.47	"Phogri"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211938_461"	0	3.6	16	"noise"	0.95	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.95	""	""	"29/03/2019"	1553887178.461	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211946_694"	0	0.2	11	"noise"	0.98	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.98	""	""	"29/03/2019"	1553887186.694	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_211953_881"	0	1.9	9	"noise"	0.97	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.97	""	""	"29/03/2019"	1553887193.881	"noise"	0
"Car340098-2019-Pass1-Z31-013676_20190329_212006_019"	0	0.1	11	"noise"	0.9	""	""	""	""	""	"5caba52defb48f000fcf28b1"	0.9	""	""	"29/03/2019"	1553887206.019	"noise"	0
