;sp;ordre;famille;nom;nomscientific;indicateur;specialisation;especeOiseaux;nomscientific_long;shortlist
FALNAU;FALNAU;Falconiformes;Falconidés;Faucon crécerellette;Falco naumanni;FALSE;non;oui;Falco naumanni Fleischer;FALSE
FALPER;FALPER;Falconiformes;Falconidés;Faucon pèlerin;Falco peregrinus;FALSE;non;oui;Falco peregrinus Tunstall;TRUE
FALRUS;FALRUS;Falconiformes;Falconidés;Faucon gerfaut;Falco rusticolus;FALSE;non;oui;Falco rusticolus;FALSE
FALSUB;FALSUB;Falconiformes;Falconidés;Faucon hobereau;Falco subbuteo;FALSE;non;oui;Falco subbuteo;TRUE
FALTIN;FALTIN;Falconiformes;Falconidés;Faucon crécerelle;Falco tinnunculus;TRUE;milieux agricoles;oui;Falco tinnunculus;TRUE
FALVES;FALVES;Falconiformes;Falconidés;Faucon kobez;Falco vespertinus;FALSE;non;oui;Falco vespertinus;FALSE
FICALB;FICALB;Passériformes;Muscicapidés;Gobemouche à  collier;Ficedula albicollis;FALSE;non;oui;Ficedula albicollis;FALSE
FICHYP;FICHYP;Passériformes;Muscicapidés;Gobemouche noir;Ficedula hypoleuca;FALSE;non;oui;Ficedula hypoleuca;TRUE
FICPAR;FICPAR;Passériformes;Muscicapidés;Gobemouche nain;Ficedula parva;FALSE;non;oui;Ficedula parva;FALSE
FRAARC;FRAARC;Charadriiformes;Alcidés;Macareux moine;Fratercula arctica;FALSE;non;oui;Fratercula arctica;FALSE
FREMAG;FREMAG;Pélécaniformes;Frégatidés;Frégate superbe;Fregata magnificens;FALSE;non;oui;Fregata magnificens Mathews;FALSE
FRICOE;FRICOE;Passériformes;Fringillidés;Pinson des arbres;Fringilla coelebs;TRUE;generaliste;oui;Fringilla coelebs;TRUE
FRIMON;FRIMON;Passériformes;Fringillidés;Pinson du Nord;Fringilla montifringilla;FALSE;non;oui;Fringilla montifringilla;FALSE
