"nom du fichier"	"temps_debut"	"temps_fin"	"frequence_mediane"	"tadarida_taxon"	"tadarida_probabilite"	"tadarida_taxon_autre"	"observateur_taxon"	"observateur_probabilite"	"validateur_taxon"	"validateur_probabilite"	"participation"
"Cir464-2016-Pass1-Tron1-Chiro_0_00250_000"	0.4	0.5	29	"Tetvir"	0.02	"Pippip, piaf, Nyclei, Yerray, Yerbey, Vesmur, Urosp, Tyllil, Thycor, Tetpyg, Tetarg, Testes, Tadten, Sepsep, Rusnit, Roeroe, Rhihip, Rhifer, Rhieur, Ratnor, Plemac, Pleaus, Pleaur, Plasab, Plaint, Plafal, Plaalb, Plaaff, Pippyg, Pipnat, Pipkuh, Phogri, Phofem, Phanan, Phafal, Nycnoc, Nyclas, Myonat, Myomys, MyoGT, Myoema, Myodau, Myodas, Myocap, Myobec, Myoalc, Mussp, Minsch, Micagr, Metbra, mamm, Leppun, Lepbos, Lepalb, Lamsp., Isopyr, Inssp8, Inssp7, Inssp5, Insp12, Insp11, Insp10, Hypsav, gril, Eupsp, Eptser, Eptnil, Epheph, Decalb, Cyrscu, Cympud, criq, Confus, Tetarg, Barfis, Barbar, amph"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00255_000"	0	0.5	110	"noise"	0.94	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00260_000"	0	0.5	93	"noise"	0.86	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00265_000"	0	0.4	102	"noise"	0.98	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00270_000"	0.2	0.5	72	"noise"	0.71	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00270_000"	0.2	0.5	41	"Pipkuh"	0.04	"Pippip, Tetvir"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00275_000"	0	0.5	77	"noise"	0.85	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00280_000"	0	0.5	104	"noise"	0.96	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00280_000"	0.1	0.2	38	"Pippip"	0.06	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00285_000"	0	0.5	102	"noise"	0.97	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00290_000"	0	0.1	104	"noise"	0.92	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00295_000"	0	0.5	99	"noise"	0.85	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00300_000"	0	0.3	98	"noise"	0.86	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00305_000"	0.4	0.5	148	"noise"	0.93	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00310_000"	0	0.5	100	"noise"	0.95	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00315_000"	0	0.5	86	"noise"	0.87	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00315_000"	0.4	0.5	27	"Testes"	0.05	"Inssp5"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00320_000"	0	0.4	108	"noise"	0.81	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00320_000"	0.4	0.5	37	"Pipkuh"	0.06	"Pipnat"	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00325_000"	0	0.5	69	"noise"	0.86	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00330_000"	0.1	0.5	67	"noise"	0.89	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
"Cir464-2016-Pass1-Tron1-Chiro_0_00335_000"	0	0.3	79	"noise"	0.89	""	NA	NA	NA	NA	"5cab967eefb48f0011b2f201"
